ADDR_PCT_CD,BORO_NM,JURIS_DESC,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PD_DESC,PREM_TYP_DESC,RPT_DT,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX
43,BRONX,N.Y. POLICE DEPT,FELONY,INSIDE,BURGLARY,"BURGLARY,RESIDENCE,NIGHT",OTHER,01-07-2023,18-24,BLACK,M
69,BROOKLYN,N.Y. POLICE DEPT,FELONY,(null),FORGERY,"FORGERY,DRIVERS LICENSE",STREET,03-14-2023,25-44,BLACK,M
110,QUEENS,N.Y. POLICE DEPT,VIOLATION,(null),HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,01-20-2023,25-44,BLACK HISPANIC,M
123,STATEN ISLAND,N.Y. POLICE DEPT,MISDEMEANOR,FRONT OF,PETIT LARCENY,"LARCENY,PETIT FROM AUTO",STREET,01-02-2023,(null),(null),(null)
30,MANHATTAN,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,03-08-2023,25-44,WHITE,M
103,QUEENS,N.Y. POLICE DEPT,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,01-06-2023,UNKNOWN,UNKNOWN,U
18,MANHATTAN,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,SEX CRIMES,"SEXUAL ABUSE 3,2",HOTEL/MOTEL,01-29-2023,UNKNOWN,WHITE,M
115,QUEENS,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",DRUG STORE,01-03-2023,UNKNOWN,WHITE,M
100,QUEENS,N.Y. POLICE DEPT,MISDEMEANOR,FRONT OF,PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,01-18-2023,(null),(null),(null)
47,BRONX,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,01-11-2023,UNKNOWN,WHITE HISPANIC,M
67,BROOKLYN,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,SEX CRIMES,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,01-02-2023,25-44,BLACK,M
105,QUEENS,N.Y. POLICE DEPT,FELONY,INSIDE,BURGLARY,"BURGLARY,RESIDENCE,UNKNOWN TIM",RESIDENCE-HOUSE,01-06-2023,(null),(null),(null)
72,BROOKLYN,N.Y. POLICE DEPT,FELONY,INSIDE,GRAND LARCENY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE-HOUSE,02-06-2023,UNKNOWN,UNKNOWN,U
115,QUEENS,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,02-16-2023,25-44,WHITE HISPANIC,M
88,BROOKLYN,N.Y. HOUSING POLICE,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,01-02-2023,UNKNOWN,BLACK,F
19,MANHATTAN,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,02-22-2023,UNKNOWN,UNKNOWN,U
102,QUEENS,N.Y. POLICE DEPT,VIOLATION,INSIDE,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,01-06-2023,25-44,ASIAN / PACIFIC ISLANDER,M
1,MANHATTAN,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,02-10-2023,UNKNOWN,UNKNOWN,U
114,QUEENS,N.Y. POLICE DEPT,VIOLATION,INSIDE,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,02-22-2023,UNKNOWN,UNKNOWN,F
120,STATEN ISLAND,N.Y. POLICE DEPT,MISDEMEANOR,(null),PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",STREET,01-17-2023,UNKNOWN,UNKNOWN,U
90,BROOKLYN,N.Y. HOUSING POLICE,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - PUBLIC HOUSING,01-13-2023,UNKNOWN,UNKNOWN,U
33,MANHATTAN,N.Y. HOUSING POLICE,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - PUBLIC HOUSING,01-06-2023,(null),(null),(null)
71,BROOKLYN,N.Y. POLICE DEPT,VIOLATION,INSIDE,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,01-29-2023,25-44,BLACK,M
62,BROOKLYN,N.Y. POLICE DEPT,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,01-03-2023,45-64,BLACK,M
